Korece,Türkçe,Kelime Türü Türkçesi,Kelime Türü Korecesi,Kullanım Notu,Seviye
여행하다,seyahat etmek,fiil,동,Bir yerden başka bir yere yolculuk yapmak.,A
역,tren istasyonu,isim,명,Demiryolu ulaşımının yapıldığı yer.,A
역사,tarih,isim,명,Geçmiş olayları ve dönemleri ifade eder.,A
연습,antrenman,isim,명,Beceri geliştirme amacıyla yapılan tekrar eylemini tanımlar.,A
연습하다,antrenman yapmak,fiil,동,Pratik yaparak öğrenmeyi ifade eder.,A
연필,kalem,isim,명,Yazma aracı; özellikle kurşun kalem.,A
열,on,sayı,수,10 sayısını belirtir.,A
열다,açmak,fiil,동,Kapalı olanı açma eylemini ifade eder.,A
열쇠,anahtar,isim,명,Kilidi açmak veya kapatmak için kullanılan araç.,A
열심히,özenle,zarf,부,"Titizlikle, büyük gayretle anlamında kullanılır.",A
영국,İngiltere,isim,고,Ülke ismi.,A
영어,İngilizce,isim,명,Dil ismi.,A
영화,film,isim,명,Görsel-işitsel eser.,A
옆,yan,isim,명,Bir nesnenin yanında yer alan alanı ifade eder.,A
예,evet,ünlem,감,Onay ifadesidir.,A
예쁘다,güzel olmak,fiil,형,Estetik güzelliği ifade eder.,A
예순,altmış,sayı,수,60 sayısını ifade eder.,A
예절,"görgü, nezaket",isim,명,Toplumsal davranış kurallarını ifade eder.,A
옛날,eski zamanlar,isim,명,Geçmiş dönemleri veya eski zamanları ifade eder.,A
오,beş,sayı,수,5 sayısını ifade eder.,A
오늘,bugün,isim,명,Şu anki günü belirtir.,A
오다,gelmek,fiil,동,Bir yere doğru hareket etmek.,A
오래,uzun süre,zarf,부,Zamanın uzunluğunu belirtir.,A
오래간만,uzun aradan sonra,isim,명,Uzun süre sonra gerçekleşen durumları ifade eder.,A
오랜만,uzun aradan sonra,isim,명,Uzun sürenin ardından meydana gelen durumları belirtir.,A
오렌지,portakal,isim,명,Meyve olarak portakalı ifade eder.,A
오르다,yükselmek,fiil,동,Yükseğe doğru hareket etmek; tırmanmak.,A
오른쪽,sağ taraf,isim,명,Yön ifadesi olarak sağ kısmı belirtir.,A
오빠,abi,isim,명,Erkeklerin kendilerine hitap ettiği abiyi ifade eder.,A
오십,elli,sayı,수,50 sayısını ifade eder.,A
오월,Mayıs,isim,명,Takvim aylarından biri; beşinci ay.,A
오전,öğleden önce,isim,명,"Günün ilk yarısını, sabah saatlerini ifade eder.",A
오후,öğleden sonra,isim,명,Günün ikinci yarısını ifade eder.,A
올라가다,yukarı çıkmak,fiil,동,Yüksek bir noktaya doğru hareket etmek.,A
올해,bu yıl,isim,명,Şu anki yılı ifade eder.,A
옷,giysi,isim,명,"Giyinilen, üst veya alt giyim eşyasını tanımlar.",A
왜,neden,soru zarfı,부,Sebep sorgulamalarında kullanılır.,A
왜냐하면,çünkü,zarf,부,Sebep veya gerekçe belirtirken kullanılır.,A
외국,yabancı ülke,isim,명,"Ülke dışı, başka bir ülkeyi ifade eder.",A
외국어,yabancı dil,isim,명,Ana dil dışındaki dilleri belirtir.,A
외국인,yabancı,isim,명,"Yabancı uyruklu, başka ülkeden gelen kişi.",A
왼쪽,sol taraf,isim,명,Yön ifadesi olarak sol tarafı ifade eder.,A
요리,yemek,isim,명,Gıda hazırlama sanatı; pişirme eylemiyle ilgili kavram.,A
요리하다,yemek pişirmek,fiil,동,"Gıda hazırlama, pişirme eylemini ifade eder.",A
요일,hafta günü,isim,명,Haftanın günlerini belirtir.,A
요즘,bu aralar,isim,명,Şu anki zaman dilimini veya mevcut durumu ifade eder.,A
우리,biz,zamir,대,Grubu ifade eden aidiyet zamiridir.,A
우리나라,ülkemiz,isim,명,"Kendi ülkemizi, vatanı ifade eder.",A
우산,şemsiye,isim,명,Yağmur veya güneşten korunmak için kullanılır.,A
우유,süt,isim,명,Besleyici içecek; genellikle inek sütü.,A
우체국,postane,isim,명,Posta hizmetlerinin sunulduğu kurumsal yer.,A
운동,hareket,isim,명,Fiziksel aktivite veya genel hareket anlamında kullanılır.,A
운동장,spor sahası,isim,명,Açık alanda spor aktivitelerinin yapıldığı yer.,A
운동하다,egzersiz yapmak,fiil,동,Fiziksel aktivite yapmayı ifade eder.,A
운동화,spor ayakkabısı,isim,명,Spor yaparken tercih edilen ayakkabıları ifade eder.,A
운전,sürüş,isim,명,Araç kullanma eyleminin ifadesidir.,A
운전하다,araba kullanmak,fiil,동,Araç kullanma eylemini ifade eder.,A
울다,ağlamak,fiil,동,Duygusal acı veya üzüntü nedeniyle gözyaşı dökmek.,A
웃다,gülmek,fiil,동,"Sevinç, neşe veya keyif ifadesi olarak ortaya çıkan eylem.",A
원,Kore wonu,ölçü birimi,의,Güney Kore para birimi; parasal değer ölçüsüdür.,A
월,ay,isim,의,Takvimdeki ay birimini ifade eder.,A
월요일,Pazartesi,isim,명,Haftanın ilk iş günü; genellikle resmi başlangıç günü olarak kabul edilir.,A
위,üst,isim,명,Bir nesnenin üst kısmını veya yukarısını ifade eder.,A
위험,tehlike,isim,명,Bir durumda veya ortamda risk veya tehlike bulunmasını ifade eder.,A
위험하다,tehlikeli olmak,fiil,형,Bir şeyin tehlikeli olduğunu belirtir.,A
유명하다,ünlü olmak,fiil,형,Birinin veya şeyin tanınmış olduğunu ifade eder.,A
유월,Haziran,isim,명,Takvim aylarından biridir.,A
육,altı,sayı,수,6 sayısını ifade eder.,A
육십,altmış,sayı,수,60 sayısını ifade eder.,A
은행,banka,isim,명,Finansal hizmetlerin sunulduğu kurum.,A
음식,yiyecek,isim,명,Tüketilen besin maddesini ifade eder.,A
음악,müzik,isim,명,Ses ve ritim düzenlemesini ifade eder.,A
의사,doktor,isim,명,Tıbbi tedavi uygulayan sağlık uzmanını belirtir.,A
의자,sandalye,isim,명,Oturmak için kullanılan mobilyayı ifade eder.,A
이,diş,isim,명,Ağızdaki sert yapıyı ifade eder.,A
이,bu,belirteç,관,Yakın nesneyi işaret eder.,A
이,iki,sayı,수,2 sayısını ifade eder.,A
이거,bu şey,zamir,대,Yakın mesafedeki nesneyi belirtir.,A
이것,bu şey,zamir,대,Belirli nesneyi ifade eder.,A
이곳,bu yer,zamir,대,Bulunulan veya belirtilen yeri ifade eder.,A
이때,bu zaman,isim,명,Belirli bir anı ifade eder.,A
이런,böyle,belirteç,관,Örnek vererek benzerliği ifade eder.,A
이렇다,böyle olmak,fiil,형,Bir durumun veya şeklin böyle olduğunu belirtir.,A
이름,isim,isim,명,Bir kişinin veya nesnenin tanımlayıcı kelimesini ifade eder.,A
이번,bu sefer,isim,명,Belirli bir olayın gerçekleştiği zamanı ifade eder.,A
이분,bu kişi,zamir,대,Saygılı hitapla o kişiyi belirtir.,A
이십,yirmi,sayı,수,20 sayısını ifade eder.,A
이야기,hikaye,isim,명,Sözlü veya yazılı anlatımı ifade eder.,A
이야기하다,sohbet etmek,fiil,동,Konuşarak fikir paylaşmayı ifade eder.,A
이월,Şubat,isim,명,Takvim aylarından biridir.,A
이제,şimdi,isim,명,Belirli bir zaman dilimini ifade eder.,A
이쪽,bu taraf,zamir,대,Yakın yönü veya tarafı belirtir.,A
이해하다,anlamak,fiil,동,Bir konuyu kavramayı ifade eder.,A
인사,selamlaşma,isim,명,Karşılıklı selam verme eylemini ifade eder.,A
인사하다,selam vermek,fiil,동,Birine hitap ederek selamlaşmayı ifade eder.,A
인천,Incheon,isim,고,Güney Kore’de bulunan bir şehri ifade eder.,A
일,iş,isim,명,Çalışma veya emek anlamında kullanılır.,A
일,bir,sayı,수,1 sayısını ifade eder.,A
일,bir gün,isim,의,Belirli bir günü ifade eder.,A
일곱,yedi,sayı,수,7 sayısını ifade eder.,A
일본,Japonya,isim,고,Ülke ismini ifade eder.,A
일본어,Japonca,isim,명,Dil ismini ifade eder.,A
일어나다,kalkmak,fiil,동,Uyanmak veya yerinden kalkmayı ifade eder.,A
일요일,Pazar,isim,명,Haftanın son günü olarak kullanılır.,A
일월,Ocak,isim,명,Takvim aylarından biridir.,A
일주일,bir hafta,isim,명,7 günü kapsayan zaman dilimini ifade eder.,A
일찍,erken,zarf,부,Zaman açısından erken gerçekleşen eylemi belirtir.,A
일하다,çalışmak,fiil,동,Emek harcamayı ifade eder.,A
일흔,yetmiş,sayı,수,70 sayısını ifade eder.,A
읽다,okumak,fiil,동,Yazılı metni gözden geçirmeyi ifade eder.,A
잃다,kaybetmek,fiil,동,Bir şeyi elden çıkarmayı ifade eder.,A
잃어버리다,kaybetmek,fiil,동,Tamamen unutmayı veya kaybetmeyi ifade eder.,A
입,ağız,isim,명,Yemek yemek veya konuşmak için kullanılan organı ifade eder.,A
입다,giymek,fiil,동,Üst giysi veya aksesuar kullanmayı ifade eder.,A
있다,var olmak,fiil,동,Bir şeyin mevcut olduğunu belirtir.,A
잊다,unutmak,fiil,동,Bilgiyi hatırlayamamayı ifade eder.,A
잊어버리다,unutmak,fiil,동,Tamamen hafızadan silmeyi ifade eder.,A
잎,yaprak,isim,명,Bitkilerin yeşil kısmını ifade eder.,A
자다,uyumak,fiil,동,Dinlenmek için uykuya dalmayı ifade eder.,A
자동차,araba,isim,명,Motorlu taşıtı ifade eder.,A
자리,yer,isim,명,Oturma veya konum belirten alanı ifade eder.,A
자신,"kendisi, öz",zamir,대,Kendi hakkında konuşurken veya özne olarak kullanılır.,A
자장면,jajangmyeon,isim,명,Kore'nin popüler Çin yemeğini ifade eder.,A
자전거,bisiklet,isim,명,"İki tekerlekli, insan gücüyle çalışan taşıtı ifade eder.",A
자주,sürekli,zarf,부,Tekrar eden eylemleri belirtir.,A
작년,geçen yıl,isim,명,Bir önceki yılı ifade eder.,A
작다,küçük olmak,fiil,형,Boyut veya miktarın az olduğunu belirtir.,A
잔,bardak,isim,명,İçeceklerin servis edildiği kabı ifade eder.,A
잘,iyi,zarf,부,Eylemin olumlu şekilde gerçekleştiğini belirtir.,A
잘하다,iyi yapmak,fiil,동,Bir işi başarıyla gerçekleştirmeyi ifade eder.,A
잠,uyku,isim,명,Dinlenmek için uyuma halini ifade eder.,A
잠깐,biraz,zarf,부,Kısa süreli zaman belirtir.,A
잠시,biraz,zarf,부,Kısa süreyi ifade eder.,A
잠자다,uykuya dalmak,fiil,동,Uykuya geçiş eylemini ifade eder.,A
잡다,yakalamak,fiil,동,Bir şeyi tutup ele geçirmeyi ifade eder.,A
잡수시다,yemek yemek (saygılı),fiil,동,Saygılı ifadeyle yemek yemeyi ifade eder.,A
잡지,dergi,isim,명,Yazılı yayın anlamında kullanılır.,A
장,parça,ölçü birimi,의,Düz ve ince nesneleri saymak için kullanılır.,A
장미,gül,isim,명,Çiçek türlerinden birini ifade eder.,A
장소,mekan,isim,명,Belirli bir alan veya yeri ifade eder.,A
재미,eğlence,isim,명,Hoş vakit geçirme hissini ifade eder.,A
재미없다,sıkıcı olmak,fiil,형,İlgi çekmeyen veya can sıkıcı bir durumu ifade eder.,A
재미있다,eğlenceli olmak,fiil,형,Hoş ve keyifli bir deneyim sunduğunu ifade eder.,A
저,şu,zamir,대,Uzakta bulunan nesneyi işaret eder.,A
저,şey,belirteç,관,Tereddüt veya dolaylı ifade için kullanılır.,A
저거,şu şey,zamir,대,Uzakta işaret edilen nesneyi ifade eder.,A
저것,şu şey,zamir,대,Uzakta bulunan nesneyi ifade eder.,A
저곳,şu yer,zamir,대,Uzakta bulunan yeri ifade eder.,A
저기,şurada,zamir,대,Uzakta işaret edilen yeri ifade eder.,A
저녁,akşam,isim,명,Gün batımından sonraki zaman dilimini ifade eder.,A
저쪽,o taraf,zamir,대,Uzakta veya belirli bir yöne işaret eder.,A
적다,yazmak,fiil,동,Bir şeyi yazılı olarak kaydetmeyi ifade eder.,A
적다,az olmak,fiil,형,Miktarın yetersiz olduğunu ifade eder.,A
전,önce,belirteç,관,Bir olaydan önceki zamanı ifade eder.,A
전,eski,isim,명,Önceki durum veya kimliği belirtir.,A
전통,gelenek,isim,명,Kültürel veya tarihsel gelenekleri ifade eder.,A
전화,telefon,isim,명,Sesli iletişim aracıdır.,A
전화번호,telefon numarası,isim,명,Bir telefonun numarasını ifade eder.,A
전화하다,telefon etmek,fiil,동,Telefonla iletişim kurmayı ifade eder.,A
점심,öğle yemeği,isim,명,Öğle öğününü ifade eder.,A
점심시간,öğle vakti,isim,명,Öğle yemeğinin yenildiği zaman dilimini ifade eder.,A
젓가락,çubuk,isim,명,Asya mutfağında yemek yerken kullanılan araçtır.,A
정류장,durak,isim,명,Toplu taşıma araçlarının duraklarını ifade eder.,A
정말,gerçekten,zarf,부,Yoğun onay veya vurgulama ifadesi verir.,A
제일,en,isim,명,En üst düzey veya en çok anlamında kullanılır.,A
제주도,Jeju Adası,isim,고,Güney Kore’de turistik bir ada.,A
조금,azıcık,isim,명,Miktar veya derecenin küçük olduğunu ifade eder.,A
조금,biraz,zarf,부,Az miktarda olduğunu belirtir.,A
조용하다,sessiz olmak,fiil,형,Sakin ve sessiz bir ortamı ifade eder.,A
졸업,mezuniyet,isim,명,Eğitim sürecinin tamamlanmasını ifade eder.,A
졸업하다,mezun olmak,fiil,동,Eğitim kurumundan mezun olma eylemini ifade eder.,A
좀,biraz,zarf,부,Miktar veya derecenin küçük olduğunu belirtir.,A
좁다,dar olmak,sıfat (fiil),형,Mekânların veya alanların dar olduğunu belirtir.,A
종이,kağıt,isim,명,Yazı yazma veya basım amacıyla kullanılan malzemeyi ifade eder.,A
좋다,iyi olmak,fiil,형,Kalite veya memnuniyeti ifade eder.,A
좋아하다,sevmek,fiil,동,Bir şeye karşı olumlu duygu beslemeyi ifade eder.,A
죄송하다,özür dilemek,fiil,형,"Özür ifadesi, pişmanlık belirtir.",A
주,hafta,isim,명,Zaman ölçüsü olarak haftayı ifade eder.,A
주,bir hafta,ölçü birimi,의,Hafta ölçüsünü belirtir.,A
주다,vermek,fiil,동,Bir şeyi teslim etmek veya hediye etmek anlamında kullanılır.,A
주다,vermek (saygılı),yardımcı fiil,보,Saygılı ifade ile verilen eylemi belirtir.,A
주말,haftasonu,isim,명,Haftanın tatil günlerini ifade eder.,A
주소,adres,isim,명,Bir yerin konumunu ifade eden bilgidir.,A
주스,meyve suyu,isim,명,Meyveden elde edilen sıvı içecektir.,A
주인,sahip,isim,명,Bir evin veya işletmenin sahibi anlamında kullanılır.,A
죽다,ölmek,fiil,동,Hayatın sona ermesini ifade eder.,A
준비,hazırlık,isim,명,Bir eylem öncesi düzenlemeyi ifade eder.,A
준비하다,hazırlanmak,fiil,동,Bir işe veya duruma hazırlanmayı ifade eder.,A
중국,Çin,isim,고,Ülke ismini ifade eder.,A
중국어,Çince,isim,명,Dil ismini ifade eder.,A
중요하다,önemli olmak,fiil,형,Bir şeyin değerli veya kritik olduğunu ifade eder.,A
중학교,ortaokul,isim,명,İlk ve orta dereceler arasında yer alan eğitim kurumudur.,A
중학생,ortaokul öğrencisi,isim,명,Ortaokula devam eden öğrenciyi ifade eder.,A
즐겁다,keyifli olmak,fiil,형,"Hoş, eğlenceli bir duygu veya ortam sunar.",A
즐기다,keyif almak,fiil,동,Olumlu duyguları ve zevki ifade etmek için kullanılır.,A
지갑,cüzdan,isim,명,Para ve kartların saklandığı küçük çantayı ifade eder.,A
지금,şimdi,isim,명,Mevcut zamanı ifade eder.,A
지난달,geçen ay,isim,명,Bir önceki ayı ifade eder.,A
지난주,geçen hafta,isim,명,Bir önceki haftayı ifade eder.,A
지내다,geçirmek,fiil,동,Zamanın nasıl geçtiğini ifade eder.,A
지도,harita,isim,명,Coğrafi yerleri gösteren çizimi ifade eder.,A
지우개,silgi,isim,명,Yazıyı veya çizgiyi silmek için kullanılan aracı ifade eder.,A
지우다,silmek,fiil,동,Yazılı veya çizili olanı temizlemeyi ifade eder.,A
지하,yeraltı,isim,명,Yerin altında bulunan alanı ifade eder.,A
지하철,metro,isim,명,Yer altından geçen toplu taşıma aracını ifade eder.,A
질문,soru,isim,명,Merak edilen veya açıklama beklenen konuyu ifade eder.,A
질문하다,sormak,fiil,동,Bilgi almak amacıyla soru yöneltmeyi ifade eder.,A
집,ev,isim,명,Yaşanılan konutu ifade eder.,A
짜다,tuzlu olmak,fiil,형,Yiyeceğin tuz oranının yüksek olduğunu ifade eder.,A
짧다,kısa olmak,fiil,형,Boyut veya süre olarak az olduğunu ifade eder.,A
쪽,taraf,ölçü birimi,의,Yön veya belirli bir alanı saymak için kullanılır.,A
찌개,güveç,isim,명,"Genellikle sebze ve et içeren, sıcak servis edilen yemeği ifade eder.",A
찍다,damgalamak,fiil,동,Bir şeyi damgalayarak mühürlemeyi ifade eder.,A
차,araba,isim,명,Motorlu taşıtı ifade eder.,A
차,çay,isim,명,Bitkisel demleme içeceği ifade eder.,A
참,gerçekten,zarf,부,Vurgulama amacıyla kullanılır.,A
창문,pencere,isim,명,Işık girişi ve havalandırma için kullanılan yapıyı ifade eder.,A
찾다,aramak,fiil,동,Bir şeyi bulmak amacıyla araştırmayı ifade eder.,A
책,kitap,isim,명,Yazılı bilgi içeren basılı eseri ifade eder.,A
책상,masa,isim,명,Üzerinde çalışma veya eşya konulan mobilyayı ifade eder.,A
처음,ilk,isim,명,Bir şeyin başlangıcını ifade eder.,A
천,bin,sayı,수,1000 sayısını ifade eder.,A
천천히,yavaşça,zarf,부,Eylemin yavaş gerçekleştiğini ifade eder.,A
첫째,ilk,belirteç,관,Sıralamada ilk olanı ifade eder.,A
청바지,kot,isim,명,Kot kumaştan yapılan pantolonu ifade eder.,A
청소,temizlik,isim,명,Bir alanın düzenlenmesini ifade eder.,A
청소하다,temizlemek,fiil,동,Kir veya tozu gidermeyi ifade eder.,A
초대,davet,isim,명,Bir etkinliğe katılmaya çağırmayı ifade eder.,A
초대하다,davet etmek,fiil,동,Birine katılma daveti göndermeyi ifade eder.,A
초등학교,ilkokul,isim,명,Temel eğitim kurumu olarak kullanılır.,A
초콜릿,çikolata,isim,명,Kakao bazlı tatlı gıdayı ifade eder.,A
추다,dans etmek,fiil,동,Ritmik hareketlerle dans etmeyi ifade eder.,A
축구,futbol,isim,명,Topla oynanan takım sporunu ifade eder.,A
축제,festival,isim,명,Geleneksel veya modern kutlamalarda düzenlenen etkinlik.,A
축하하다,kutlamak,fiil,동,Sevinç veya başarı durumunda tebrik etmeyi ifade eder.,A
출발하다,yola çıkmak,fiil,동,Bir yolculuğa veya eyleme başlamayı ifade eder.,A
춤,dans,isim,명,Ritmik hareketlerle yapılan sanatsal etkinliği ifade eder.,A
춤추다,dans etmek,fiil,동,Dans etme eylemini ifade eder.,A
춥다,soğuk olmak,fiil,형,Dış veya iç ortamın düşük sıcaklıkta olduğunu belirtir.,A
취미,hobiler,isim,명,Boş zaman etkinliğini ifade eder.,A
층,kat,isim,명,Bina veya yapının bölümlerinden birini ifade eder.,A
치다,saldırmak,fiil,동,Fiziksel saldırı veya darbe indirmeyi ifade eder.,A
치마,etek,isim,명,Kadın giyim eşyasını ifade eder.,A
치약,diş macunu,isim,명,Diş temizliğinde kullanılan maddeyi ifade eder.,A
친구,arkadaş,isim,명,Sosyal ilişki içindeki kişiyi ifade eder.,A
친절하다,nazik olmak,fiil,형,Yardımseverlik veya iyi niyet göstermeyi ifade eder.,A
칠,yedi,sayı,수,7 sayısını ifade eder.,A
칠십,yetmiş,sayı,수,70 sayısını ifade eder.,A
칠월,temmuz,isim,명,Takvim aylarından biridir.,A
칠판,tahta,isim,명,Derslikte kullanılan yazı tahtasını ifade eder.,A
침대,yatak,isim,명,Uyumak için kullanılan mobilyayı ifade eder.,A
칫솔,diş fırçası,isim,명,Diş temizliğinde kullanılan aracı ifade eder.,A
카드,kart,isim,명,"Oyun, ödeme veya tanıtım amacıyla kullanılan nesneyi ifade eder.",A
카메라,kamera,isim,명,Fotoğraf veya video çekmek için kullanılan cihazı ifade eder.,A
칼,bıçak,isim,명,Kesme amaçlı kullanılan kesici aleti ifade eder.,A
캐나다,Kanada,isim,고,Ülke ismini ifade eder.,A
커피,kahve,isim,명,Kafein içeren sıcak veya soğuk içeceği ifade eder.,A
컴퓨터,bilgisayar,isim,명,İşlem yapan elektronik cihazı ifade eder.,A
컵,bardak,isim,명,İçecek içmek için kullanılan kabı ifade eder.,A
켜다,açmak,fiil,동,Cihazı çalıştırmak veya ışığı yakmayı ifade eder.,A
코,burun,isim,명,Koku alma organını ifade eder.,A
콜라,kola,isim,명,Gazlı içeceği ifade eder.,A
크다,büyük olmak,fiil,동,Boyut veya hacmin fazla olduğunu belirtir.,A
크리스마스,Noel,isim,명,Hristiyan bayramı olan Noel’i ifade eder.,A
키,boy,isim,명,Kişinin boy uzunluğunu ifade eder.,A
타다,binmek,fiil,동,Araçla yolculuk etmeyi ifade eder.,A
태권도,taekwondo,isim,명,Kore dövüş sanatı olan taekwondoyu ifade eder.,A
태어나다,doğmak,fiil,동,"Hayatın başlangıcını, dünyaya gelmeyi ifade eder.",A
택시,taksi,isim,명,Ücretli ulaşım aracını ifade eder.,A
테니스,tenis,isim,명,Raketi ve topu kullanılan sporu ifade eder.,A
테이블,masa,isim,명,Üzerinde yemek veya çalışma yapılan mobilyayı ifade eder.,A
텔레비전,televizyon,isim,명,Görüntü ve ses yayını yapan cihazı ifade eder.,A
텔레비전,TV,isim,명,Televizyon.,A
토요일,Cumartesi,isim,명,Haftanın altıncı günü olarak kullanılır.,A
특별하다,özel olmak,sıfat (fiil),형,"Diğerlerinden farklı, özel olduğunu ifade eder.",A
팀,takım,isim,명,Bir arada hareket eden grubu ifade eder.,A
파란색,mavi,isim,명,Renk olarak mavi tonunu ifade eder.,A
파티,parti,isim,명,Kutlama veya eğlence amacıyla toplanmayı ifade eder.,A
팔,kol,isim,명,Üst uzvu ifade eder.,A
팔,sekiz,sayı,수,8 sayısını ifade eder.,A
팔다,satmak,fiil,동,Bir ürünü veya hizmeti parayla değiştirmeyi ifade eder.,A
팔십,seksen,sayı,수,80 sayısını ifade eder.,A
팔월,Ağustos,isim,명,Takvim aylarından biridir.,A
퍼센트,yüzde,ölçü birimi,의,Miktarın yüzdelik oranını belirtir.,A
편지,mektup,isim,명,Yazılı iletişim aracını ifade eder.,A
편하다,"rahat olmak, konforlu olmak",sıfat (fiil),형,"Mekân, giysi veya durumun rahatlığını belirtir.",A
포도,üzüm,isim,명,Meyve türlerinden birini ifade eder.,A
표,işaret,isim,명,Bir şeyi belirten sembol veya göstergeyi ifade eder.,A
표,bilet,isim,명,"İspat niteliğinde olabilecek bir not. Buna tren bileti, gemi bileti, uçak bileti, giriş bileti gibi şeyler dahildir.",A
프랑스,Fransa,isim,고,Ülke ismini ifade eder.,A
피곤하다,yorgun olmak,fiil,형,Aşırı yorgunluk hissini ifade eder.,A
피아노,piyano,isim,명,Klavyeli müzik aletini ifade eder.,A
피우다,yakmak,fiil,동,Ateşi veya duman çıkarmayı ifade eder.,A
피자,pizza,isim,명,"İtalyan kökenli, fırında pişirilen yiyeceği ifade eder.",A
필요,ihtiyaç,isim,명,Gereksinim duyulan şeyi ifade eder.,A
필요하다,ihtiyaç duymak,fiil,형,Bir şeye gereksinim hissetmeyi ifade eder.,A
하나,bir,sayı,수,1 sayısını ifade eder.,A
하늘,gökyüzü,isim,명,Gökyüzündeki mavi veya bulutlu alanı ifade eder.,A
하다,yapmak,fiil,동,Herhangi bir eylemi gerçekleştirmeyi ifade eder.,A
하지만,ama,zarf,부,Zıtlık ifade eder.,A
학교,okul,isim,명,Eğitim kurumunu ifade eder.,A
학년,sınıf,isim,명,Eğitimdeki sınıf düzeyini veya yılını ifade eder.,A
학생,öğrenci,isim,명,Eğitim gören kişiyi ifade eder.,A
한,bir,belirteç,관,Tek birliği belirtir.,A
한강,Han Nehri,isim,고,Seul’den geçen ünlü nehri ifade eder.,A
한국,Kore,isim,고,Ülke ismini ifade eder.,A
한국말,Korece,isim,명,Kore dilinin halk arasında kullanılan adını ifade eder.,A
한국어,Korece,isim,명,Kore dilinin resmi adını ifade eder.,A
한글,Kore alfabesi,isim,명,Korece yazım sistemini ifade eder.,A
한번,bir kez,isim,명,Tek seferlik olmayı ifade eder.,A
한복,hanbok,isim,명,Geleneksel Kore kıyafetini ifade eder.,A
한자,Çince karakter,isim,명,Çin kökenli yazı sistemini ifade eder.,A
할머니,büyükanne,isim,명,Anne tarafından kullanılan yaşlı kadın hitabını ifade eder.,A
할아버지,büyükbaba,isim,명,Baba tarafından kullanılan yaşlı erkek hitabını ifade eder.,A
함께,birlikte,zarf,부,Eş zamanlılık veya beraberlik ifade eder.,A
항상,daima,zarf,부,Sürekli ve kesintisiz olarak kullanılır.,A
해,güneş,isim,명,Gündüz ışığını sağlayan yıldızı ifade eder.,A
해,yıl,ölçü birimi,의,Zaman ölçüsü olarak yılı ifade eder.,A
핸드폰,cep telefonu,isim,명,Mobil iletişim aracını ifade eder.,A
햄버거,hamburger,isim,명,Sandviç türü olup genellikle et içerir.,A
허리,bel,isim,명,"Vücudun orta kısmı, bel bölgesini ifade eder.",A
형,abi,isim,명,Erkek kardeşlerden yaşça büyük olanı ifade eder.,A
호,numara,ölçü birimi,의,belirli bir sıraya göre numaralandırmak için kullanılan terim.,A
호주,Avustralya,isim,고,Ülke ismini ifade eder.,A
호텔,otel,isim,명,Konaklama hizmeti sunan tesisi ifade eder.,A
혼자,yalnız,isim,명,Tek başına olmayı veya yalnızlığı ifade eder.,A
화,öfke,isim,명,Sinir veya öfke durumunu ifade eder.,A
화요일,Salı,isim,명,Haftanın ikinci iş gününü ifade eder.,A
화장실,tuvalet,isim,명,"İnsanların doğal ihtiyaçlarını gidermesi için tasarlanmış, genellikle içinde klozet veya hela bulunan alan.",A
환자,hasta,isim,명,Sağlık hizmeti alan kişiyi ifade eder.,A
회사,şirket,isim,명,Ticari işletmeyi ifade eder.,A
회의,toplantı,isim,명,İnsanların bir araya gelip konuştukları etkinliği ifade eder.,A
후,sonra,isim,명,Bir olayın ardından gelen zamanı ifade eder.,A
휴일,tatil,isim,명,Resmi veya özel tatil gününü ifade eder.,A
휴지,tuvalet kağıdı,isim,명,Temizlik amacıyla kullanılan kağıdı ifade eder.,A
휴지통,çöp kutusu,isim,명,Atık kağıtların veya çöplerin toplandığı kabı ifade eder.,A
흰색,gri,isim,명,Renk olarak gri tonunu ifade eder.,A
힘,güç,isim,명,Fiziksel veya mecazi kuvveti ifade eder.,A
힘들다,zor olmak,fiil,형,Zorluk veya çaba gerektiren durumu ifade eder.,A